Sentence #,Word,POS,Tag
Sentence: 1,Karst,NNP,B-OBJ
,is,VBZ,O
,a,DT,O
,landscape,NN,B-SUBJ
,created,VBN,O
,by,IN,O
,the,DT,O
,dissolution,NN,O
,of,IN,O
,carbonate,NN,O
,rocks,NNS,O
,",",",",O
,although,IN,O
,similar,JJ,O
,features,NNS,O
,can,MD,O
,also,RB,O
,be,VB,O
,found,VBN,O
,in,IN,O
,volcanic,JJ,O
,and,CC,O
,permafrost,NN,O
,areas,NNS,O
,.,.,O
Sentence: 2,Karst,NNP,B-OBJ
,is,VBZ,O
,a,DT,O
,landscape,NN,O
,created,VBN,B-SUBJ
,by,IN,I-SUBJ
,the,DT,I-SUBJ
,dissolution,NN,I-SUBJ
,of,IN,I-SUBJ
,carbonate,NN,I-SUBJ
,rocks,NNS,I-SUBJ
,",",",",O
,although,IN,O
,similar,JJ,O
,features,NNS,O
,can,MD,O
,also,RB,O
,be,VB,O
,found,VBN,O
,in,IN,O
,volcanic,JJ,O
,and,CC,O
,permafrost,NN,O
,areas,NNS,O
,.,.,O
Sentence: 3,Karst,NNP,B-OBJ
,is,VBZ,O
,a,DT,O
,product,NN,B-SUBJ
,of,IN,I-SUBJ
,processes,NNS,I-SUBJ
,that,WDT,O
,operate,VBP,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
,",",",",O
,especially,RB,O
,when,WRB,O
,the,DT,O
,land,NN,O
,masses,NNS,O
,are,VBP,O
,uplifted,VBN,O
,above,IN,O
,sea,NN,O
,level,NN,O
,.,.,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
Sentence: 4,Karst,NNP,B-OBJ
,is,VBZ,O
,a,DT,O
,product,NN,B-SUBJ
,of,IN,I-SUBJ
,processes,NNS,I-SUBJ
,that,WDT,I-SUBJ
,operate,VBP,I-SUBJ
,on,IN,I-SUBJ
,continental,JJ,I-SUBJ
,land,NN,I-SUBJ
,masses,NNS,I-SUBJ
,",",",",O
,especially,RB,O
,when,WRB,O
,the,DT,O
,land,NN,O
,masses,NNS,O
,are,VBP,O
,uplifted,VBN,O
,above,IN,O
,sea,NN,O
,level,NN,O
,.,.,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
Sentence: 5,Karst,NNP,B-OBJ
,is,VBZ,O
,a,DT,O
,product,NN,O
,of,IN,O
,processes,NNS,O
,that,WDT,O
,operate,VBP,O
,on,IN,B-SUBJ
,continental,JJ,I-SUBJ
,land,NN,I-SUBJ
,masses,NNS,I-SUBJ
,",",",",O
,especially,RB,O
,when,WRB,O
,the,DT,O
,land,NN,O
,masses,NNS,O
,are,VBP,O
,uplifted,VBN,O
,above,IN,O
,sea,NN,O
,level,NN,O
,.,.,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
Sentence: 7,Karst,NNP,B-OBJ
,is,VBZ,O
,terrain,NN,B-SUBJ
,with,IN,O
,distinctive,JJ,O
,hydrology,NN,O
,and,CC,O
,landforms,NNS,O
,arising,VBG,O
,from,IN,O
,the,DT,O
,combination,NN,O
,of,IN,O
,high,JJ,O
,rock,NN,O
,solubility,NN,O
,and,CC,O
,well,RB,O
,-,HYPH,O
,developed,VBN,O
,solution,NN,O
,channel,NN,O
,(,-LRB-,O
,secondary,JJ,O
,),-RRB-,O
,porosity,NN,O
,underground,RB,O
,.,.,O
,rock,NN,O
Sentence: 8,Karst,NNP,B-OBJ
,is,VBZ,O
,terrain,NN,O
,with,IN,O
,distinctive,JJ,O
,hydrology,NN,O
,and,CC,O
,landforms,NNS,O
,arising,VBG,B-SUBJ
,from,IN,I-SUBJ
,the,DT,I-SUBJ
,combination,NN,I-SUBJ
,of,IN,I-SUBJ
,high,JJ,I-SUBJ
,rock,NN,I-SUBJ
,solubility,NN,I-SUBJ
,and,CC,I-SUBJ
,well,RB,I-SUBJ
,-,HYPH,I-SUBJ
,developed,VBN,I-SUBJ
,solution,NN,I-SUBJ
,channel,NN,I-SUBJ
,(,-LRB-,I-SUBJ
,secondary,JJ,I-SUBJ
,),-RRB-,I-SUBJ
,porosity,NN,I-SUBJ
,underground,RB,I-SUBJ
,.,.,O
,rock,NN,O
Sentence: 9,Karst,NNP,B-OBJ
,is,VBZ,O
,the,DT,O
,term,NN,O
,used,VBN,O
,to,TO,O
,describe,VB,O
,a,DT,O
,special,JJ,O
,style,NN,O
,of,IN,O
,landscape,NN,O
