Sentence #,Word,POS,Tag
Sentence: 28,The,DT,O
,term,NN,O
,“,``,O
,karstosphere,NN,B-FD
,”,'',O
,was,VBD,O
,introduced,VBN,O
,by,IN,O
,Maruashvili,NNP,O
,(,-LRB-,O
,1970,CD,O
,),-RRB-,O
,",",",",O
,who,WP,O
,defined,VBD,O
,it,PRP,O
,as,IN,O
,a,DT,O
,spatially,RB,B-ORM
,discontinuous,JJ,I-ORM
,layer,NN,I-ORM
,comprised,VBN,O
,of,IN,O
,the,DT,O
,global,JJ,O
,areas,NNS,O
,of,IN,O
,karstifiable,JJ,O
,rocks,NNS,O
,.,.,O
Sentence: 31,A,DT,O
,konta,NNP,B-FD
,is,VBZ,O
,a,DT,O
,closed,VBN,B-ORM
,karst,JJ,I-ORM
,depression,NN,I-ORM
,",",",",I-ORM
,like,IN,I-ORM
,a,DT,I-ORM
,doline,NN,I-ORM
,",",",",O
,that,WDT,O
,has,VBZ,O
,been,VBN,O
,remodelled,VBN,O
,during,IN,O
,Pleistocene,NNP,O
,glaciation,NN,O
,.,.,O
Sentence: 66,In,IN,O
,contrast,NN,O
,",",",",O
,travertine,NN,B-FD
,is,VBZ,O
,crystalline,JJ,O
,",",",",O
,dense,JJ,O
,calcite,NN,O
,that,WDT,O
,is,VBZ,O
,often,RB,O
,well,RB,B-ORM
,layered,VBN,I-ORM
,",",",",I-ORM
,quite,RB,I-ORM
,lustrous,JJ,I-ORM
,and,CC,I-ORM
,lacks,VBZ,I-ORM
,framing,VBG,I-ORM
,plant,NN,I-ORM
,content,NN,I-ORM
,.,.,O
Sentence: 72,Ideal,JJ,O
,cave,NN,B-FD
,pearls,NNS,I-FD
,are,VBP,O
,spheres,NNS,B-ORM
,that,WDT,O
,range,VBP,O
,~,SYM,O
,0.2,CD,O
,to,IN,O
,10,CD,O
,–,SYM,O
,15,CD,O
,mm,NNS,O
,in,IN,O
,diameter,NN,O
,.,.,O
Sentence: 76,Opal,NNP,B-FD
,(,-LRB-,O
,cristobalite,NN,O
,),-RRB-,O
,is,VBZ,O
,a,DT,O
,very,RB,O
,fine,JJ,B-ORM
,-,HYPH,I-ORM
,grained,VBN,I-ORM
,silica,NN,O
,that,WDT,O
,occurs,VBZ,O
,as,IN,O
,thin,JJ,O
,interlayers,NNS,O
,in,IN,O
,some,DT,O
,calcite,NN,O
,and,CC,O
,gypsum,NN,O
,speleothems,NNS,O
,.,.,O
Sentence: 79,Opal,NNP,O
,(,-LRB-,O
,cristobalite,NN,B-FD
,),-RRB-,O
,is,VBZ,O
,a,DT,O
,very,RB,O
,fine,JJ,B-ORM
,-,HYPH,I-ORM
,grained,VBN,I-ORM
,silica,NN,O
,that,WDT,O
,occurs,VBZ,O
,as,IN,O
,thin,JJ,O
,interlayers,NNS,O
,in,IN,O
,some,DT,O
,calcite,NN,O
,and,CC,O
,gypsum,NN,O
,speleothems,NNS,O
,.,.,O
Sentence: 81,The,DT,O
,static,JJ,B-FD
,cave,NN,I-FD
,is,VBZ,O
,a,DT,O
,simple,JJ,O
,deep,JJ,B-ORM
,hole,NN,I-ORM
,with,IN,I-ORM
,no,DT,I-ORM
,air,NN,I-ORM
,drainage,NN,I-ORM
,out,IN,I-ORM
,of,IN,I-ORM
,the,DT,I-ORM
,bottom,NN,I-ORM
,;,:,O
,thus,RB,O
,it,PRP,O
,traps,VBZ,O
,cold,JJ,O
