Sentence #,Word,Tag_predicted
Sentence: 1,Vsako,O
,obdobje,I-SUBJECT
,otoplitve,I-SUBJECT
,in,O
,s,O
,tem,O
,zmanjšanje,I-SUBJECT
,obsega,O
,ledenikov,O
,imenujemo,O
,medledena,B-DEFINIENDUM
,doba,I-DEFINIENDUM
,ali,O
,interglacial,B-DEFINIENDUM
,.,O
Sentence: 2,Takšnim,O
,meandrom,O
,pravimo,O
,tudi,O
,ujeti,B-DEFINIENDUM
,meandri,I-DEFINIENDUM
,in,O
,jih,O
,najdemo,O
,tudi,O
,v,O
,nekaterih,O
,drugih,O
,slovenskih,O
,pokrajinah,O
,.,O
Sentence: 3,V,O
,leksikonu,O
,je,O
,spodmol,B-DEFINIENDUM
,definiran,O
,kot,O
,"""",O
,kratka,B-SUBJECT
,votlina,B-SUBJECT
,z,B-SUBJECT
,visoko,I-SUBJECT
,previsno,I-SUBJECT
,steno,I-SUBJECT
,na,B-SUBJECT
,vhodu,I-SUBJECT
,"""",O
,in,O
,kot,O
,"""",O
,zaradi,B-SUBJECT
,delovanja,I-SUBJECT
,valov,O
,izpodjeden,I-SUBJECT
,previs,I-SUBJECT
,na,B-SUBJECT
,morski,I-SUBJECT
,",",I-SUBJECT
,jezerski,I-SUBJECT
,obali,I-SUBJECT
,"""",O
Sentence: 4,V,O
,geologiji,O
,je,O
,zemeljski,B-DEFINIENDUM
,plaz,I-DEFINIENDUM
,definiran,O
,kot,O
,območje,B-SUBJECT
,preperine,I-SUBJECT
,",",I-SUBJECT
,usedline,I-SUBJECT
,ali,O
,kamnine,I-SUBJECT
,",",O
,ki,B-SUBJECT
,se,I-SUBJECT
,je,I-SUBJECT
,hitro,I-SUBJECT
,ali,I-SUBJECT
,počasi,I-SUBJECT
,premaknila,I-SUBJECT
,s,I-SUBJECT
,prvotnega,I-SUBJECT
,kraja,I-SUBJECT
,in,I-SUBJECT
,ima,B-SUBJECT
,vidno,I-SUBJECT
,spremenjeno,I-SUBJECT
,površje,I-SUBJECT
,.,O
Sentence: 5,V,O
,najstarejši,O
,literaturi,O
,izraz,O
,spodmol,B-DEFINIENDUM
,pomeni,O
,majhno,B-SUBJECT
,izravnavo,B-SUBJECT
,na,B-SUBJECT
,povešenih,I-SUBJECT
,gorskih,I-SUBJECT
,hrbtih,I-SUBJECT
,in,O
,slemenih,I-SUBJECT
,.,O
Sentence: 6,Spodmole,B-SUBJECT
,opišejo,O
,kot,O
,vodoravne,B-SUBJECT
,vdolbine,B-SUBJECT
,/,O
,zajede,I-SUBJECT
,v,B-SUBJECT
,obliki,I-SUBJECT
,črke,I-SUBJECT
,C,I-SUBJECT
,v,B-SUBJECT
,navpičnem,I-SUBJECT
,prerezu,I-SUBJECT
,",",O
,izdolbene,B-SUBJECT
,na,B-SUBJECT
,pobočjih,I-SUBJECT
,in,I-SUBJECT
,v,B-SUBJECT
,skalnih,I-SUBJECT
,stenah,I-SUBJECT
,.,O
,skalnih,O
Sentence: 7,Uporablja,O
,se,O
,pojem,O
,prebojna,B-DEFINIENDUM
,dolina,I-DEFINIENDUM
,",",O
,kar,O
,pa,O
,je,O
,samo,O
,slovenski,O
