REL_LABEL,REL_TOK,REL_FRAME
HAS_CAUSE,created by the dissolution of carbonate rocks,created by
HAS_CAUSE,product   of processes that operate on continental land masses,operate on
HAS_LOCATION,on continental land masses,
HAS_CAUSE,arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,arising from the
CONTAINS,with distinctive hydrology and landforms,with distinctive
COMPOSITION_MEDIUM,"developed on especially soluble rocks such as limestone , marble , and gypsum",developed on
CONTAINS,containing caves and extensive underground water systems,containing
DEFINED_AS,the total length of the existing conduits within a karst massif,
HAS_SIZE,the length of conduits wider than about 1 cm in diameter,wider than
HAS_CAUSE,shaped by the dissolution of soluble bedrock,shaped by the
DEFINED_AS,areas similar to that found in Kras,
HAS_FORM,Short steep-sided,
HAS_CAUSE,caused by collapse of an underground cavern,caused by
HAS_FORM,exposing the river to the surface,exposing
COMPOSITION_MEDIUM,comprised of the global areas of karstifiable rocks,comprised of
HAS_FORM,spatially discontinuous layer,
HAS_CAUSE,that has been remodelled during Pleistocene glaciation .,has been remodelled
HAS_FORM,"closed karst depression , like a doline",
COMPOSITION_MEDIUM,"is   composed of calcium carbonate ( CaCO3 ) , deposited as the minerals aragonite and calcite",is   composed of
HAS_FUNCTION,contributes water to the karst groundwater system,contributes
HAS_LOCATION,in localized areas,in
DEFINED_AS,open stream or river that loses water as it flows downstream,
HAS_SIZE,extend to a depth of several tens of metres,extend to
HAS_FUNCTION,control the orientation of master conduits,control
DEFINED_AS,Joints that cross many beds,
COMPOSITION_MEDIUM,"within a sequence of soluble rocks , e.g . a gypsum bed in a dolomite formation",within a sequence of
DEFINED_AS,preferential dissolution of a particular bed or other unit,
HAS_LOCATION,at the surface,
CONTAINS,karst features developed at the surface,at
COMPOSITION_MEDIUM,"developed beneath a blanket of permeable sediments such as soil , till , periglacial deposits and residual clays",developed beneath
HAS_FORM,Karst-like landforms,
HAS_CAUSE,produced by processes other than dissolution or corrosion-induced subsidence and collapse,produced by processes
HAS_CAUSE,resulting from thawing of ground ice,resulting from
HAS_LOCATION,extending well below baselevel,extending
HAS_ATTRIBUTE,uninfluenced by other rocks,
COMPOSITION_MEDIUM,developed on thick limestones,developed on
HAS_FUNCTION,Concentrated inflows of water from allogenic sources sink underground,
COMPOSITION_MEDIUM,calcite,
HAS_ATTRIBUTE,"crystalline , dense",
HAS_FORM,"well layered , quite lustrous and lacks framing plant content",
HAS_LOCATION,near cave entrances,near
HAS_CAUSE,where rapid deposition is encouraged by evaporation,where
COMPOSITION_MEDIUM,softer porous material,
HAS_FORM,spheres,
HAS_SIZE,range ~ 0.2 to 10 – 15 mm in diameter,range|in diameter
HAS_FORM,fine-grained,
COMPOSITION_MEDIUM,occurs as thin interlayers in some calcite and gypsum speleothems,occurs as
HAS_FUNCTION,"it traps cold , dense air and excludes warmer air",it traps
HAS_FORM,deep hole with no air drainage out of the bottom,
OCCURS_IN_TIME,created during deposition of the rock ( i.e . created first ),created during
HAS_FORM,Shaft-like depressions deeply flooded by seawater,
HAS_LOCATION,in low-lying coral islands,in
HAS_LOCATION,in the karstified bedrock,in
HAS_CAUSE,by a combination of physical downwashing and chemical solution,by a
HAS_RESULT,whereby fines are evacuated through underlying pipes,whereby
HAS_SIZE,in which the grains have an average diameter of less than 1 / 16 millimeter,an average diameter of
HAS_FORM,fragmental,
HAS_SIZE,in which the particles are generally larger than 2 millimeters,larger than
COMPOSITION_MEDIUM,"composed of calcium carbonate , CaCOs",composed of
HAS_FORM,like aragonite but differing in crystal form,in crystal form
HAS_RESULT,the principal constituent of limestone,constituent of
HAS_CAUSE,formed by the deposition of calcite around a gas bubble,formed by
HAS_FORM,hollow,
HAS_FORM,"the interior is smooth , and the exterior consists of small jagged crystals",the interior is
COMPOSITION_MEDIUM,consisting of flowstone,consisting of
HAS_LOCATION,hanging from a sloping wall projection,hanging from a
HAS_FORM,forming a fringe of shawls or stalactites on the outer edge,forming a
HAS_CAUSE,cut by running water,cut by
HAS_FORM,steep-walled,
HAS_CAUSE,formed by collapse of the roof of a long fairly straight cave,formed by
HAS_LOCATION,on the floor of a cave,on the
HAS_POSITION,first reported from Cuba,
HAS_CAUSE,formed by saturated karst water pushed up through capillaries and small cracks,formed by
HAS_FORM,Hollow,
HAS_LOCATION,in a sinter crust,in a
HAS_FORM,covering permeable fluvial deposits,
COMPOSITION_MEDIUM,"consisting mainly of carbonate minerals , such as limestone or dolomite",consisting mainly of
HAS_FORM,room or series of rooms and passages,
HAS_LOCATION,underground,
HAS_CAUSE,natural,
HAS_SIZE,large enough to be entered by a man,large enough
